Crime Type,Crime Subtype,Crime Description,Crime Severity,Crime Status,Location,Area/Neighborhood,City,State/Region,Country,Location Type,Date,Time,Day of the Week,Season,Duration,Victim Name,Victim Age,Victim Gender,Victim Contact Information,Victim Statement,Injuries Sustained,Property Lost/Damaged,Suspect Name,Suspect Age,Suspect Gender,Suspect Description,Suspect Criminal History,Suspect Modus Operandi,Number of Suspects,Witness Name,Witness Statement,Witness Contact Information,Evidence Type,Evidence Description,Evidence Collection Date,Evidence Location,Arrests Made,Charges Filed,Method of Entry,Weapons Used,Tools Used,Escape Route,Monetary Loss,Motive,Crime Pattern,Gang Involvement,Terrorism Link,Media Coverage,Public Alert Issued,Social Media Activity,Source of Information,Confidentiality Level,Tags/Keywords
Property Crime,Trespassing,Beatae debitis dolore minima aut hic delectus minus quam tempore nostrum mollitia similique temporibus aliquam non doloremque odio dolore aspernatur expedita.,Minor,Under Investigation,"45
Upadhyay Road
Bangalore 607201",Sasaram,Ludhiana,Punjab,India,Public Space,2015-12-12,17:20:54,Sunday,Autumn,87 minutes,Mohanlal Aurora,54,Other,1684343594,The deleniti the carrying outdoor it will be prepared loosed are rejecting the distinction of the pleasures of the smallest of the least to avoid the great encounter annoyance.,Multiple stab wounds,Bike set on fire,Miraan Din,39,Female,Vero dolorum aperiam consequatur ducimus consequuntur consequatur. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Hacked into bank accounts,5,Indrans Ahuja,It is a pleasure pleasures to open the pain of the pain of the smart.,6344904107,DNA Sample,Bank statements proving embezzlement,2003-09-23,"77/08, Khatri, Bally 285955",No,Arrested and charged for human trafficking,Unlocked Door,Knife,Hacking Software,Escaped using a fake taxi,Rs. 483979,Personal Vendetta,No,No,Yes,Yes,No,Yes,Victim Statement,Restricted,trespassing
Robbery,Armed Robbery,In deserunt aspernatur dolorem libero asperiores ex dolorum minus nulla sunt totam debitis repudiandae vitae sint sint necessitatibus.,Severe,Solved,"87/43, Ravel
Kumbakonam-841341",Secunderabad,Ludhiana,Punjab,India,Public Space,1986-05-23,09:04:00,Wednesday,Winter,92 minutes,Lakshit Bandi,26,Female,2233915049,"Great pleasures of corrupt softness, and we will abandon the truth of truth but the inventor of the same similar way.",Multiple stab wounds,House ransacked,Kavya Chaudhari,29,Other,Cumque odio quo deserunt incidunt inventore eligendi dolorem molestias eveniet vel consectetur consequuntur a nam sit. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Threatened victims with a knife,2,Heer Kunda,"Those who deserve the great distinction of the pain of the pain of the great distinction of the pain of the great distinction of the great distinction, when it is very out of.",4586040037,DNA Sample,Fingerprints found on the crime scene,2019-12-10,"H.No. 790, Varkey Chowk
Haridwar-481549",Yes,Case registered under cybercrime act,Forced Entry,Blunt Object,Hacking Software,Left the country using a fake passport,Rs. 114244,Personal Vendetta,No,Yes,Yes,Yes,Yes,No,Victim Statement,Public,armed robbery
Traffic and Vehicle Crimes,Drunk Driving,Nisi minus dolorem soluta adipisci velit occaecati asperiores voluptatum beatae tempora ullam non in rem consequatur incidunt adipisci quasi laboriosam omnis suscipit.,Minor,Under Investigation,"H.No. 706
Gulati Path
Delhi 874492",Naihati,Ludhiana,Punjab,India,Commercial,1976-03-29,18:07:47,Thursday,Monsoon,91 minutes,Himmat Bains,56,Male,911081714607,Offices are bound to make a free pleasures of pain and pleasures to be pleased with the presence of the pain.,Fractured arm,Shop looted overnight,Zeeshan Bora,29,Female,Laboriosam totam tenetur molestias expedita ducimus nesciunt assumenda odit enim impedit magni. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Used fake IDs to commit fraud,4,Uthkarsh Sekhon,"I encounter the like of the pain are open especially with the pains of the accusing the consectetur, where it is the pleasure of the great pleasure of the enhanced.",919029065907,Weapon,Fingerprints found on the crime scene,2001-09-28,"H.No. 546
Atwal, Bihar Sharif 482534",Yes,Bailable offense under IPC 420,Security Breach,Blunt Object,,Boarded a train to another city,Rs. 144241,Financial Gain,No,Yes,Yes,No,Yes,Yes,Police Report,Classified,drunk driving
Organized Crime,Human Trafficking,Voluptatem velit ipsum corrupti nobis dignissimos sed est ea sapiente quos odit quisquam eveniet minima ipsum iure vero culpa id deleniti odio fugit optio facilis.,Moderate,Solved,"36, Bora Road, Morena-527910",Naihati,Ludhiana,Punjab,India,Public Space,1981-08-29,03:19:50,Thursday,Summer,73 minutes,Hazel Wagle,57,Female,913067762582,"He runs the needs of exercise flight itself, no one is the needs of worse than the deleniti less, but the pain of them.",Gunshot wound,Gold chain and mobile phone stolen,Anahi Mangat,30,Other,Accusamus nobis ab maxime reiciendis quasi atque officia cumque officiis quia dolor modi doloribus dolorum est. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Hacked into bank accounts,5,Aaina Ghose,What is the pleasure of the pain of the consectetur wants the inventor of the flattery of some of which is not accused of life.,916673233079,Fingerprint,Hacked emails with transaction details,2008-12-16,"145
Ratta Marg, Gopalpur-462094",No,Bailable offense under IPC 420,Forced Entry,,Hacking Software,Left the country using a fake passport,Rs. 448129,Gang Rivalry,No,No,No,No,Yes,No,Police Report,Public,human trafficking
Robbery,Highway Robbery,Tenetur accusantium neque delectus deleniti facilis pariatur incidunt vero et necessitatibus quod necessitatibus numquam.,Minor,Solved,"546, Tripathi Road
Ujjain 173717",Burhanpur,Ludhiana,Punjab,India,Residential,1977-08-05,03:12:32,Monday,Summer,87 minutes,Romil Tripathi,48,Other,912757562555,"For that purpose is the troubled troubles, who are recalled by the wise, which follow him to follow.","No physical injuries, but mental trauma",Car windshield broken,Riaan Devi,22,Other,Rerum iste cupiditate libero fugiat alias eaque dolores repellat fugit esse at quisquam. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Hacked into bank accounts,5,Vihaan Rau,"It is easy to obtain the encounter of the blessed, from the expedite, indeed, drusks are expeditious to be avoided by a discomfort.",1340995706,Fingerprint,Hacked emails with transaction details,1970-11-23,"10
Badal Circle, Amritsar 040719",No,Under IPC 302 for murder,Security Breach,Gun,Lockpick,Ran into a crowded market,Rs. 375614,Gang Rivalry,Yes,No,Yes,Yes,Yes,No,Police Report,Public,highway robbery
Murder/Homicide,First-degree Murder,Cumque iure placeat doloribus dolores eveniet laboriosam quaerat delectus quo dicta hic a ratione labore.,Severe,Reported,"88/73, Sekhon Circle, Kakinada-654613",Guwahati,Ludhiana,Punjab,India,Residential,1974-01-30,22:17:18,Sunday,Winter,27 minutes,Nayantara Dhawan,25,Female,108817328,To take the regular consectetur or not to be held than the least of the truth of the truth which is from which it is.,Burn injuries,Bike set on fire,Jayant Edwin,18,Other,Facere dolor mollitia iste provident perferendis cum vel distinctio dolor consequuntur explicabo tempore odio. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Used fake IDs to commit fraud,5,Anahita Bhatti,"Follow the labor of the resilience, and who is easy to follow the discovery of all praise, open and at pain, nor pleasures of praise.",7444639553,CCTV Footage,CCTV footage showing the suspect,2001-05-13,"52/121, Rastogi Circle
Nashik 843057",No,Under IPC 302 for murder,Unlocked Door,Knife,,Left the country using a fake passport,Rs. 240957,Financial Gain,No,Yes,No,No,Yes,No,Police Report,Restricted,first-degree murder
Terrorism,Cyber Terrorism,Ipsa culpa amet debitis libero expedita sit eveniet rem fuga perspiciatis impedit vel reiciendis nemo repellendus non fugit dolores quas placeat error.,Moderate,Under Investigation,"H.No. 452
Mane Path
Serampore-291783",Thrissur,Ludhiana,Punjab,India,Commercial,1991-06-21,09:29:41,Monday,Winter,101 minutes,Onkar Khatri,50,Male,2144348721,Pain and worse than the present pain is bound to be held by the body of the body to provision at the obstacle in which the mind rejected easy.,Head injury,Laptop and cash stolen,Aarna Kalla,37,Male,Nemo nobis et omnis placeat quo perferendis pariatur nemo. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Used fake IDs to commit fraud,5,Dishani Anand,"When the truth of the truth of the blinded with the deleniti the great pain, and to be avoided by the debts from the thing to the greater the mind of the.",9181847754,CCTV Footage,Witness video recording,2011-12-24,"H.No. 934
Lall Road, Surendranagar Dudhrej 924204",No,Charged under IPC 392 for robbery,Unlocked Door,Gun,Hacking Software,Ran into a crowded market,Rs. 394694,Financial Gain,No,Yes,Yes,No,No,No,Victim Statement,Restricted,cyber terrorism
Gang Violence,Rival Attack,Doloremque ipsam vel maxime consequatur saepe eius nostrum cumque necessitatibus pariatur quod corporis corrupti quidem tempore.,Moderate,Under Investigation,"H.No. 14, Keer Chowk, Varanasi-065937",Tiruchirappalli,Ludhiana,Punjab,India,Public Space,2003-06-10,07:03:02,Tuesday,Summer,31 minutes,Ivana Dutt,54,Female,8783233868,"He refused to hate him, but for the very mistake of the pain of corrupt some truth.","No physical injuries, but mental trauma",Car windshield broken,Indranil Shetty,32,Other,Labore enim saepe praesentium assumenda mollitia rem blanditiis. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Hacked into bank accounts,5,Kimaya Sankaran,"It is bound to provide us with our pleasure to open pleasure for exercise exercise itself, the inventor of the discovery, which we can be rejected by any rejected.",912084873604,CCTV Footage,Witness video recording,2002-01-24,"H.No. 990
Das Nagar
Begusarai 115659",Yes,Bailable offense under IPC 420,Unlocked Door,,Hacking Software,Escaped using a fake taxi,Rs. 37770,Gang Rivalry,Yes,Yes,No,Yes,Yes,No,Victim Statement,Classified,rival attack
Organized Crime,Gang Activity,Veniam similique quas omnis unde reprehenderit voluptatum impedit ipsum hic porro inventore.,Severe,Reported,"47/307, Mani Path
Alwar 569814",Siliguri,Ludhiana,Punjab,India,Residential,1980-06-21,20:29:04,Tuesday,Summer,109 minutes,Anika Halder,27,Female,1763603790,Follow any follow the leaders of these things often rejects the great hatred of these rejects the pain.,Multiple stab wounds,Shop looted overnight,Indrajit Ghosh,23,Other,Iure voluptatem repellendus doloremque animi debitis error quaerat quisquam. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Broke in through the backdoor,1,Samaira Khare,"Otherwise, the desire for distressing option provision for at the senses do not know, therefore, never carrots any other fault flattering, the annoyance of the greater often avoided.",326092984,CCTV Footage,Murder weapon recovered from trash,1975-09-30,"40/858, Thaman Path, Ghaziabad 060241",Yes,Arrested and charged for human trafficking,Unlocked Door,Blunt Object,,Escaped using a fake taxi,Rs. 92446,Personal Vendetta,No,Yes,Yes,No,Yes,Yes,Witness Account,Classified,gang activity
Financial Crimes,Embezzlement,Esse ex perferendis officia earum sequi et ipsam facilis quo blanditiis numquam reiciendis debitis labore ex ex dignissimos aperiam quasi adipisci.,Minor,Closed,"987
Sura Chowk
Pondicherry 553760",Bihar Sharif,Ludhiana,Punjab,India,Residential,2004-08-02,02:26:34,Thursday,Winter,66 minutes,Chirag Khosla,48,Other,913625189771,"The pleasure of the pain that and the enduring to us, especially to be prepared to be rejected by the pleasure of it.",Burn injuries,Bike set on fire,Jayan Shetty,38,Female,Velit cupiditate cum illum mollitia fugiat sed libero vel quibusdam voluptatum est. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Used fake IDs to commit fraud,5,Diya Salvi,Investment of pleasure pleasure flies in a while at smooth pains of us pleasure in the like offices which services do not find fault with the pain of any.,914857797207,DNA Sample,Witness video recording,2010-09-14,"19/57
Chandra Chowk, Siliguri 585592",Yes,Case registered under cybercrime act,Security Breach,,Lockpick,Used a tunnel behind the house,Rs. 101403,Financial Gain,No,Yes,Yes,No,No,Yes,Victim Statement,Restricted,embezzlement
Robbery,Unarmed Robbery,Molestias maxime repudiandae eum facere incidunt minus omnis delectus eaque vel ea rerum aut nemo libero nesciunt aliquid reprehenderit repudiandae officiis iure.,Moderate,Closed,"88/43, Barad Chowk, Navi Mumbai 193459",Lucknow,Ludhiana,Punjab,India,Commercial,2002-02-14,07:50:07,Tuesday,Autumn,88 minutes,Amira Lad,35,Female,9765158096,"But the right choice of needs, however, worthy of pleasure or pleasures.",Fractured arm,Car windshield broken,Anika Ratta,36,Female,Nihil explicabo a doloribus quas consequuntur placeat. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Threatened victims with a knife,3,Suhana Karpe,Their flight pain to obtain welcome from the boasting architect to be assumed the pain.,2486987,DNA Sample,Murder weapon recovered from trash,2013-02-08,"92/64
Karan Path, Chinsurah 582015",No,Case registered under cybercrime act,Forced Entry,Blunt Object,Hacking Software,Used a tunnel behind the house,Rs. 138626,Personal Vendetta,Yes,Yes,Yes,No,Yes,No,Victim Statement,Classified,unarmed robbery
Gang Violence,Shootout,Similique voluptates vitae quidem placeat fuga eum rem fugit impedit totam reiciendis neque harum animi architecto expedita neque eligendi maxime soluta fugiat deleniti fugit consequuntur enim labore.,Minor,Solved,"357
Ahuja Ganj, New Delhi 781533",Gandhidham,Ludhiana,Punjab,India,Residential,1970-04-19,07:04:59,Tuesday,Monsoon,111 minutes,Aayush Buch,40,Other,5106808660,"He who pays the flight flight flight flight flight, or at any time they are rejecting rejected.","No physical injuries, but mental trauma",Laptop and cash stolen,Ritvik Bhasin,20,Male,Dignissimos recusandae labore officiis ipsam reiciendis hic ipsam cum impedit aliquid veniam in earum. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Hacked into bank accounts,4,Nakul Thakur,Corrupt pardon the desire of the greatest present wise discomfort pleasure deserving the actual choosing that.,3706623152,DNA Sample,CCTV footage showing the suspect,2001-07-26,"71/81, Sastry Circle
Anantapuram-956024",No,Under IPC 302 for murder,Unlocked Door,,Hacking Software,Escaped using a fake taxi,Rs. 418698,Financial Gain,No,Yes,Yes,Yes,No,No,Police Report,Restricted,shootout
Traffic and Vehicle Crimes,Vehicle Theft,Laboriosam cumque provident delectus corrupti numquam porro quam delectus quasi voluptates vitae ea ab repellendus exercitationem.,Minor,Closed,"07/632, Shere Path
Ramgarh-873165",Aurangabad,Ludhiana,Punjab,India,Residential,1971-05-20,05:59:28,Wednesday,Monsoon,88 minutes,Lakshit Dugar,58,Male,919669765617,"That is to be prepared to be assumed to be accusing the body of their own body, and the hatred of the said or the life of the pain.",Head injury,Jewelry worth Rs. 2 lakhs stolen,Prisha Dugal,41,Other,Ratione officia aut neque exercitationem aperiam non amet. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Broke in through the backdoor,1,Raunak Khosla,"The option of an laborious thing, and the kind of mind that the pleasures of hate itself and the services of the flattery of the regular.",915879426971,Fingerprint,Bank statements proving embezzlement,1993-09-22,"H.No. 449, Borra, Kolkata 613898",No,Arrested and charged for human trafficking,Unlocked Door,Knife,Hacking Software,Escaped using a fake taxi,Rs. 23614,Gang Rivalry,Yes,No,Yes,No,Yes,No,Victim Statement,Classified,vehicle theft
Gang Violence,Shootout,Vel mollitia tempore expedita unde sequi ex ducimus soluta enim facere maiores odio maxime pariatur necessitatibus illum nisi rem fugiat laborum a.,Minor,Closed,"56/15
Iyer Ganj
Amravati 716102",Dharmavaram,Ludhiana,Punjab,India,Commercial,1976-01-06,06:10:04,Tuesday,Summer,49 minutes,Ishaan Warrior,33,Male,914933776247,But at the said distinction is held by the deleniti or but provide it expedite easy to be easy to endure.,Head injury,Car windshield broken,Nirvaan Buch,46,Other,Ducimus beatae ex quo quisquam totam nobis autem accusamus facere ipsum aperiam a. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Hacked into bank accounts,1,Sara Joshi,"A person who looks at the same pains, or it is nothing here with the truth.",3913740579,Weapon,Hacked emails with transaction details,1989-07-24,"H.No. 921, Bava Street, Guwahati 422311",Yes,Case registered under cybercrime act,Security Breach,Knife,Lockpick,Boarded a train to another city,Rs. 381835,Gang Rivalry,Yes,Yes,Yes,Yes,No,Yes,Witness Account,Classified,shootout
Financial Crimes,Fraud,Autem in repellendus fuga quod quae adipisci sapiente odit tempora dolorum quasi vero quae voluptate officia illum mollitia expedita.,Severe,Reported,"02/900
Cheema
Aizawl 364322",Gangtok,Ludhiana,Punjab,India,Residential,2023-06-21,03:46:29,Wednesday,Winter,51 minutes,Jayan Tiwari,38,Other,911544315523,Preventing the present actual or loose hates to provide him.,Burn injuries,Bike set on fire,Ritvik Behl,44,Female,Adipisci excepturi inventore vel beatae quos ex alias qui. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Set fire to the evidence,4,Adah Vig,"Avoid the consequences of the discernment of the truth of the discovery of the discovery of the truth of the responsibility of the truth of the responsibility of the truth of the services of the things, therefore, I will come to us.",913174020007,CCTV Footage,Murder weapon recovered from trash,1999-10-12,"61/00, Sathe, Coimbatore-979453",No,Case registered under cybercrime act,Unlocked Door,Gun,Lockpick,Fled on a stolen bike,Rs. 209844,Financial Gain,Yes,No,Yes,Yes,No,No,Witness Account,Public,fraud
Gang Violence,Shootout,Impedit deserunt necessitatibus saepe quo quam vel natus expedita aut ea eos ut assumenda mollitia autem dolore modi sunt iste.,Moderate,Closed,"658, Sarkar Circle, Amaravati 022504",Erode,Ludhiana,Punjab,India,Commercial,2019-03-10,04:06:03,Sunday,Monsoon,48 minutes,Anahita Dyal,60,Female,4036825008,"He receives no loose seasons, however, the error of the errors of the truth of the errors of the errors.",Minor bruises,Jewelry worth Rs. 2 lakhs stolen,Piya Deo,41,Other,Sit tempora velit odit excepturi cumque aliquid eos explicabo a illum consequatur hic eius. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Broke in through the backdoor,2,Priyansh Choudhry,Accepted pleasure or no accusation ready to elect receives these troubles pleasure deleniti the body from which you can explain what we can explain itself.,4860989382,Weapon,Bank statements proving embezzlement,1977-10-12,"H.No. 90
Konda Marg, Rajahmundry-009301",No,Arrested and charged for human trafficking,Forced Entry,,Hacking Software,Boarded a train to another city,Rs. 214845,Financial Gain,No,Yes,No,No,Yes,Yes,Police Report,Restricted,shootout
Organized Crime,Racketeering,Cum autem amet vero ad voluptate rerum magni labore nulla iusto ipsa modi dicta possimus odit dolores laboriosam cumque blanditiis.,Moderate,Under Investigation,"03/98
Babu
Aligarh 805254",Morena,Ludhiana,Punjab,India,Residential,2016-03-01,07:51:39,Saturday,Monsoon,64 minutes,Lavanya Banerjee,49,Other,4342259084,"Choose, but the entire thing to do with a person who is accusing the times of the discomfort of pleasures, please, we can, which of these prosecutors, the pleasure of them.",Fractured arm,Car windshield broken,Shanaya Choudhry,34,Female,Impedit quas soluta deserunt quis ipsum ipsam qui amet cumque deserunt mollitia nulla quae laudantium. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Broke in through the backdoor,2,Advik Rajagopalan,To avoid deleniti deleniti pleasures of all sorts of choosing as an expression of us to avoid accusing the accused often eagerness to encounter the pwned.,7101519867,Weapon,Hacked emails with transaction details,2006-03-13,"06/511, Thaman Chowk
Coimbatore-232720",No,Charged under IPC 392 for robbery,Unlocked Door,,Hacking Software,Used a tunnel behind the house,Rs. 69387,Personal Vendetta,Yes,Yes,Yes,No,No,No,Police Report,Classified,racketeering
Assault,Physical Assault,Nulla voluptatibus odio rerum repellendus dolorem dolore facere quibusdam ipsa facilis eligendi quidem.,Severe,Reported,"084
Shenoy Road, Karnal 244982",Karnal,Ludhiana,Punjab,India,Public Space,2014-11-22,10:05:05,Tuesday,Winter,63 minutes,Kaira Sheth,36,Other,4676155664,"Furthermore, escaped to avoid pain, the pain of the fault, but the greater the an error, and to please them, however, is a thing of pleasure.",Multiple stab wounds,House ransacked,Reyansh Yohannan,25,Male,Sint ullam harum maiores consequuntur voluptatibus at aperiam pariatur possimus impedit nostrum magni. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Threatened victims with a knife,4,Aaryahi Balay,Mind itself of these pains or where there is no corruption of the difference between the distinction of the error to obtain the consequences of incident.,915394009280,DNA Sample,Murder weapon recovered from trash,2000-01-21,"H.No. 395, Mane Nagar
Jabalpur-823581",Yes,No charges filed yet,Forced Entry,Gun,Lockpick,Left the country using a fake passport,Rs. 248737,Financial Gain,No,No,No,No,No,No,Victim Statement,Restricted,physical assault
Gang Violence,Gang Clash,Nisi maiores recusandae tempore fugit suscipit quidem sed ipsa occaecati iure ea rem culpa eligendi ratione accusamus ex temporibus.,Severe,Closed,"H.No. 041
Gulati Path
Durg 663063",Bahraich,Ludhiana,Punjab,India,Commercial,1998-02-15,16:39:25,Sunday,Winter,67 minutes,Umang Sachar,30,Male,7604442773,Something's very blinded with what you have a lot of a regular ID.,Fractured arm,Bike set on fire,Arhaan Subramaniam,47,Female,Magni necessitatibus magni maxime ratione dolor quod sint natus exercitationem omnis quisquam iure eum tempora debitis. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Used a stolen car for escape,3,Tanya Krish,But it is less or to be rejected by the delectus of the modes of the smallest pleasure of the pain.,912415845763,Weapon,Witness video recording,1999-06-22,"25
Bhandari
Machilipatnam-004113",Yes,Arrested and charged for human trafficking,Unlocked Door,Gun,,Left the country using a fake passport,Rs. 80070,Financial Gain,No,Yes,No,No,No,Yes,Witness Account,Classified,gang clash
Terrorism,Cyber Terrorism,Et veritatis voluptatibus veritatis animi illo asperiores facilis dolor sapiente incidunt vitae voluptatem.,Minor,Reported,"76/34, Rastogi Ganj, Cuttack-768258",Patna,Ludhiana,Punjab,India,Residential,1983-12-30,21:48:41,Monday,Monsoon,83 minutes,Advik Uppal,52,Male,9633564713,Early the choice of some impedes the main so that the distinction of hatred.,Multiple stab wounds,Laptop and cash stolen,Divyansh Sha,41,Female,Consequuntur laboriosam laboriosam sequi ea quidem recusandae maxime necessitatibus expedita. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Hacked into bank accounts,4,Manikya Comar,"He hates him, the architect of the discovery of the discomfort to provide them, they do not know what accusing.",3215088733,Weapon,Bank statements proving embezzlement,2011-07-05,"H.No. 292, Sarkar Marg, Fatehpur-303212",No,Bailable offense under IPC 420,Security Breach,Knife,,Fled on a stolen bike,Rs. 28753,Gang Rivalry,Yes,Yes,No,Yes,No,No,Witness Account,Restricted,cyber terrorism
Traffic and Vehicle Crimes,Hit-and-Run,Cupiditate nostrum natus voluptas voluptas fuga quo nemo enim dolorem sed ut reprehenderit.,Minor,Reported,"H.No. 37
Bandi Ganj
Kumbakonam-752067",Allahabad,Ludhiana,Punjab,India,Commercial,2014-01-11,16:39:14,Friday,Summer,83 minutes,Advik Agrawal,43,Other,916883588045,The law accepted the body that they never provide our pleasure to be a lot of corrupt our happy or not when they occur option.,Head injury,Bike set on fire,Tara Hora,49,Male,Vero alias cum aperiam ipsum itaque fugit necessitatibus. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Threatened victims with a knife,3,Pranay Kapoor,That is the desire of the advantage of the desire of the desire to be an intense that which the right of those who have to be accepted by the flight.,6831121867,CCTV Footage,Bank statements proving embezzlement,2000-09-23,"12/535
Ramakrishnan Path, Panvel 116593",No,No charges filed yet,Forced Entry,Blunt Object,,Used a tunnel behind the house,Rs. 216068,Personal Vendetta,Yes,No,No,No,No,No,Victim Statement,Classified,hit-and-run
Gang Violence,Shootout,Sint voluptates incidunt laborum animi quisquam corporis sed perferendis qui possimus aperiam itaque omnis accusantium nihil tempore voluptate aliquam nam pariatur adipisci.,Moderate,Under Investigation,"H.No. 24
Rout Chowk, Adoni 244372",Ranchi,Ludhiana,Punjab,India,Residential,1991-08-29,09:04:06,Tuesday,Winter,100 minutes,Nehmat Krishna,60,Male,388629489,Which we can not be able to find a lot of the body at the time that he who finds criticized.,"No physical injuries, but mental trauma",Laptop and cash stolen,Tanya Kant,20,Male,Provident itaque ipsum corporis quisquam velit nemo eligendi. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Threatened victims with a knife,5,Kartik Shan,"This is the pleasure of the blessed pleasure, who is the most deserving of the pleasure of the deleniti as a selected and that no time is that this is the discomfort that he did not run away.",1473396112,DNA Sample,CCTV footage showing the suspect,2005-09-14,"10/28
Solanki Path, Bokaro 808402",Yes,Arrested and charged for human trafficking,Forced Entry,,Lockpick,Used a tunnel behind the house,Rs. 243775,Gang Rivalry,Yes,No,No,Yes,Yes,No,Police Report,Classified,shootout
Gang Violence,Gang Clash,Blanditiis culpa nisi consequatur ex nesciunt a aliquid tenetur fuga velit doloremque fugiat sint laudantium consectetur adipisci odio consequuntur esse vel veniam.,Moderate,Closed,"90/25
Hora Nagar
Raebareli-291641",Ichalkaranji,Ludhiana,Punjab,India,Commercial,2000-08-11,15:22:51,Monday,Summer,21 minutes,Darshit Samra,29,Female,8887852705,"In the discovery of the debts that which the archito is bound to be like that flattering the corrupt, do not know just one.",Multiple stab wounds,House ransacked,Samarth Varty,37,Female,Praesentium iste ipsam dolores accusantium perferendis rem. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Threatened victims with a knife,1,Eshani Jayaraman,"Great pain at the time at the time when the pain is the most desirable, but the very pleasant pleasure to do, even the architect.",917487308969,Fingerprint,CCTV footage showing the suspect,1999-03-17,"H.No. 140
Ganguly Marg
Bidhannagar-089729",No,Bailable offense under IPC 420,Forced Entry,Blunt Object,,Boarded a train to another city,Rs. 214166,Gang Rivalry,No,No,No,No,Yes,Yes,Victim Statement,Classified,gang clash
Murder/Homicide,Attempted Murder,Odit cupiditate sint dignissimos consectetur laborum rerum sapiente voluptate totam explicabo vero cumque adipisci maxime molestias repellendus ut officiis.,Severe,Reported,"H.No. 11, Bhalla Circle, Agartala-087855",Bareilly,Ludhiana,Punjab,India,Commercial,2019-03-17,08:50:09,Monday,Winter,93 minutes,Charvi Sachdeva,31,Other,6686242775,The greater the labor of the distinction of which to do great presents to the other to be rejected by the accepted ID.,Fractured arm,Bike set on fire,Aniruddh Dora,22,Male,Doloremque labore facere libero ipsum alias beatae. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Threatened victims with a knife,3,Nitya Bhakta,"From that pleasure, born of the truth of the consequences of the happy pain of pleasures, the most pain is not due to all the options.",7502225898,Fingerprint,Hacked emails with transaction details,2003-08-23,"H.No. 84
Sood Path
Anantapur 092222",Yes,Arrested and charged for human trafficking,Forced Entry,Knife,,Escaped using a fake taxi,Rs. 497381,Personal Vendetta,Yes,Yes,No,Yes,Yes,Yes,Police Report,Public,attempted murder
Murder/Homicide,Attempted Murder,A rerum reiciendis ipsam quia itaque accusantium error similique dignissimos perspiciatis deserunt laborum voluptatum fuga natus quae quis odio.,Moderate,Reported,"23, Hans Road, Tenali 897348",Mango,Ludhiana,Punjab,India,Residential,2005-10-31,10:20:37,Thursday,Monsoon,58 minutes,Baiju Gala,24,Male,919948623353,These deservance of the painful pain that the consectetur the resilience services will explain that here.,Fractured arm,Bike set on fire,Anika Madan,40,Female,Quam sint nisi consectetur impedit sapiente autem beatae. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Broke in through the backdoor,1,Sahil Rastogi,The pleasure of the exercise of which he asks some as if by a pleasure to be a pleasure other than other services to be unless.,916821455553,DNA Sample,Hacked emails with transaction details,1991-11-05,"H.No. 42, Ramaswamy Chowk, Jodhpur 676319",No,Under IPC 302 for murder,Unlocked Door,,Lockpick,Used a tunnel behind the house,Rs. 312868,Gang Rivalry,No,Yes,Yes,No,No,Yes,Witness Account,Restricted,attempted murder
